393,465c393,465
> ID:8, Address:0, Data:4037, Time:416
> ID:9, Address:0, Data:4039, Time:417
> ID:8, Address:0, Data:4039, Time:418
> ID:9, Address:0, Data:4088, Time:419
> ID:8, Address:0, Data:4088, Time:420
> ID:9, Address:0, Data:4096, Time:421
> ID:13, Address:3, Data:23, Time:422
> ID:8, Address:0, Data:0, Time:423
> ID:9, Address:0, Data:5, Time:424
> ID:8, Address:0, Data:128, Time:425
> ID:9, Address:0, Data:134, Time:426
> ID:8, Address:0, Data:332, Time:427
> ID:9, Address:0, Data:335, Time:428
> ID:8, Address:0, Data:493, Time:429
> ID:9, Address:0, Data:495, Time:430
> ID:8, Address:0, Data:669, Time:431
> ID:9, Address:0, Data:670, Time:432
> ID:8, Address:0, Data:747, Time:433
> ID:9, Address:0, Data:748, Time:434
> ID:8, Address:0, Data:1028, Time:435
> ID:9, Address:0, Data:1030, Time:436
> ID:8, Address:0, Data:1437, Time:437
> ID:9, Address:0, Data:1440, Time:438
> ID:8, Address:0, Data:1942, Time:439
> ID:9, Address:0, Data:1943, Time:440
> ID:8, Address:0, Data:2064, Time:441
> ID:9, Address:0, Data:2070, Time:442
> ID:8, Address:0, Data:2240, Time:443
> ID:9, Address:0, Data:2241, Time:444
> ID:8, Address:0, Data:2292, Time:445
> ID:9, Address:0, Data:2295, Time:446
> ID:8, Address:0, Data:2343, Time:447
> ID:9, Address:0, Data:2345, Time:448
> ID:8, Address:0, Data:2597, Time:449
> ID:9, Address:0, Data:2598, Time:450
> ID:8, Address:0, Data:2861, Time:451
> ID:9, Address:0, Data:2863, Time:452
> ID:8, Address:0, Data:2868, Time:453
> ID:9, Address:0, Data:2877, Time:454
> ID:8, Address:0, Data:3158, Time:455
> ID:9, Address:0, Data:3159, Time:456
> ID:8, Address:0, Data:3159, Time:457
> ID:9, Address:0, Data:3160, Time:458
> ID:8, Address:0, Data:3254, Time:459
> ID:9, Address:0, Data:3256, Time:460
> ID:8, Address:0, Data:3755, Time:461
> ID:9, Address:0, Data:3756, Time:462
> ID:8, Address:0, Data:3805, Time:463
> ID:9, Address:0, Data:3825, Time:464
