5964,7026c5964,7026
< ID:10, Address:0, Data:1, Time:6108
< ID:11, Address:0, Data:145, Time:6109
< ID:10, Address:0, Data:1, Time:6110
< ID:11, Address:0, Data:155, Time:6111
< ID:10, Address:0, Data:2, Time:6112
< ID:11, Address:0, Data:203, Time:6113
< ID:10, Address:0, Data:2, Time:6114
< ID:11, Address:0, Data:221, Time:6115
< ID:10, Address:0, Data:1, Time:6116
< ID:11, Address:0, Data:254, Time:6117
< ID:10, Address:0, Data:2, Time:6118
< ID:8, Address:0, Data:2370, Time:6119
< ID:9, Address:0, Data:2381, Time:6120
< ID:11, Address:0, Data:5, Time:6121
< ID:10, Address:0, Data:2, Time:6122
< ID:11, Address:0, Data:19, Time:6123
< ID:10, Address:0, Data:2, Time:6124
< ID:11, Address:0, Data:29, Time:6125
< ID:10, Address:0, Data:1, Time:6126
< ID:11, Address:0, Data:31, Time:6127
< ID:10, Address:0, Data:1, Time:6128
< ID:11, Address:0, Data:63, Time:6129
< ID:10, Address:0, Data:2, Time:6130
< ID:11, Address:0, Data:69, Time:6131
< ID:10, Address:0, Data:1, Time:6132
< ID:11, Address:0, Data:84, Time:6133
< ID:10, Address:0, Data:2, Time:6134
< ID:11, Address:0, Data:142, Time:6135
< ID:10, Address:0, Data:1, Time:6136
< ID:11, Address:0, Data:206, Time:6137
< ID:10, Address:0, Data:2, Time:6138
< ID:11, Address:0, Data:221, Time:6139
< ID:10, Address:0, Data:1, Time:6140
< ID:11, Address:0, Data:232, Time:6141
< ID:10, Address:0, Data:2, Time:6142
< ID:8, Address:0, Data:2381, Time:6143
< ID:9, Address:0, Data:2394, Time:6144
< ID:11, Address:0, Data:4, Time:6145
< ID:10, Address:0, Data:2, Time:6146
< ID:11, Address:0, Data:5, Time:6147
< ID:10, Address:0, Data:2, Time:6148
< ID:11, Address:0, Data:10, Time:6149
< ID:10, Address:0, Data:1, Time:6150
< ID:11, Address:0, Data:22, Time:6151
< ID:10, Address:0, Data:2, Time:6152
< ID:11, Address:0, Data:29, Time:6153
< ID:10, Address:0, Data:1, Time:6154
< ID:11, Address:0, Data:45, Time:6155
< ID:10, Address:0, Data:2, Time:6156
< ID:11, Address:0, Data:63, Time:6157
< ID:10, Address:0, Data:2, Time:6158
< ID:11, Address:0, Data:66, Time:6159
< ID:10, Address:0, Data:1, Time:6160
< ID:11, Address:0, Data:75, Time:6161
< ID:10, Address:0, Data:2, Time:6162
< ID:11, Address:0, Data:105, Time:6163
< ID:10, Address:0, Data:2, Time:6164
< ID:11, Address:0, Data:128, Time:6165
< ID:10, Address:0, Data:2, Time:6166
< ID:11, Address:0, Data:145, Time:6167
< ID:10, Address:0, Data:1, Time:6168
< ID:11, Address:0, Data:227, Time:6169
< ID:10, Address:0, Data:2, Time:6170
< ID:8, Address:0, Data:2394, Time:6171
< ID:9, Address:0, Data:2414, Time:6172
< ID:11, Address:0, Data:10, Time:6173
< ID:10, Address:0, Data:1, Time:6174
< ID:11, Address:0, Data:19, Time:6175
< ID:10, Address:0, Data:2, Time:6176
< ID:11, Address:0, Data:29, Time:6177
< ID:10, Address:0, Data:1, Time:6178
< ID:11, Address:0, Data:45, Time:6179
< ID:10, Address:0, Data:2, Time:6180
< ID:11, Address:0, Data:56, Time:6181
< ID:10, Address:0, Data:1, Time:6182
< ID:11, Address:0, Data:60, Time:6183
< ID:10, Address:0, Data:2, Time:6184
< ID:11, Address:0, Data:63, Time:6185
< ID:10, Address:0, Data:2, Time:6186
< ID:11, Address:0, Data:72, Time:6187
< ID:10, Address:0, Data:2, Time:6188
< ID:11, Address:0, Data:96, Time:6189
< ID:10, Address:0, Data:2, Time:6190
< ID:11, Address:0, Data:101, Time:6191
< ID:10, Address:0, Data:1, Time:6192
< ID:11, Address:0, Data:145, Time:6193
< ID:10, Address:0, Data:1, Time:6194
< ID:11, Address:0, Data:162, Time:6195
< ID:10, Address:0, Data:1, Time:6196
< ID:11, Address:0, Data:177, Time:6197
< ID:10, Address:0, Data:2, Time:6198
< ID:11, Address:0, Data:198, Time:6199
< ID:10, Address:0, Data:1, Time:6200
< ID:11, Address:0, Data:205, Time:6201
< ID:10, Address:0, Data:2, Time:6202
< ID:11, Address:0, Data:214, Time:6203
< ID:10, Address:0, Data:2, Time:6204
< ID:11, Address:0, Data:231, Time:6205
< ID:10, Address:0, Data:2, Time:6206
< ID:11, Address:0, Data:232, Time:6207
< ID:10, Address:0, Data:2, Time:6208
< ID:11, Address:0, Data:237, Time:6209
< ID:10, Address:0, Data:2, Time:6210
< ID:11, Address:0, Data:240, Time:6211
< ID:10, Address:0, Data:1, Time:6212
< ID:8, Address:0, Data:2414, Time:6213
< ID:9, Address:0, Data:2420, Time:6214
< ID:11, Address:0, Data:1, Time:6215
< ID:10, Address:0, Data:2, Time:6216
< ID:11, Address:0, Data:68, Time:6217
< ID:10, Address:0, Data:2, Time:6218
< ID:11, Address:0, Data:81, Time:6219
< ID:10, Address:0, Data:2, Time:6220
< ID:11, Address:0, Data:87, Time:6221
< ID:10, Address:0, Data:1, Time:6222
< ID:11, Address:0, Data:101, Time:6223
< ID:10, Address:0, Data:1, Time:6224
< ID:11, Address:0, Data:105, Time:6225
< ID:10, Address:0, Data:2, Time:6226
< ID:8, Address:0, Data:2485, Time:6227
< ID:9, Address:0, Data:2491, Time:6228
< ID:11, Address:0, Data:9, Time:6229
< ID:10, Address:0, Data:1, Time:6230
< ID:11, Address:0, Data:29, Time:6231
< ID:10, Address:0, Data:1, Time:6232
< ID:11, Address:0, Data:87, Time:6233
< ID:10, Address:0, Data:1, Time:6234
< ID:11, Address:0, Data:101, Time:6235
< ID:10, Address:0, Data:1, Time:6236
< ID:11, Address:0, Data:116, Time:6237
< ID:10, Address:0, Data:2, Time:6238
< ID:11, Address:0, Data:214, Time:6239
< ID:10, Address:0, Data:2, Time:6240
< ID:8, Address:0, Data:2491, Time:6241
< ID:9, Address:0, Data:2501, Time:6242
< ID:11, Address:0, Data:10, Time:6243
< ID:10, Address:0, Data:1, Time:6244
< ID:11, Address:0, Data:29, Time:6245
< ID:10, Address:0, Data:1, Time:6246
< ID:11, Address:0, Data:67, Time:6247
< ID:10, Address:0, Data:2, Time:6248
< ID:11, Address:0, Data:74, Time:6249
< ID:10, Address:0, Data:2, Time:6250
< ID:11, Address:0, Data:105, Time:6251
< ID:10, Address:0, Data:2, Time:6252
< ID:11, Address:0, Data:116, Time:6253
< ID:10, Address:0, Data:2, Time:6254
< ID:11, Address:0, Data:145, Time:6255
< ID:10, Address:0, Data:1, Time:6256
< ID:11, Address:0, Data:177, Time:6257
< ID:10, Address:0, Data:2, Time:6258
< ID:11, Address:0, Data:183, Time:6259
< ID:10, Address:0, Data:2, Time:6260
< ID:11, Address:0, Data:207, Time:6261
< ID:10, Address:0, Data:2, Time:6262
< ID:8, Address:0, Data:2589, Time:6263
< ID:9, Address:0, Data:2597, Time:6264
< ID:11, Address:0, Data:19, Time:6265
< ID:10, Address:0, Data:2, Time:6266
< ID:11, Address:0, Data:29, Time:6267
< ID:10, Address:0, Data:1, Time:6268
< ID:11, Address:0, Data:45, Time:6269
< ID:10, Address:0, Data:2, Time:6270
< ID:11, Address:0, Data:95, Time:6271
< ID:10, Address:0, Data:2, Time:6272
< ID:11, Address:0, Data:142, Time:6273
< ID:10, Address:0, Data:1, Time:6274
< ID:11, Address:0, Data:159, Time:6275
< ID:10, Address:0, Data:2, Time:6276
< ID:11, Address:0, Data:198, Time:6277
< ID:10, Address:0, Data:1, Time:6278
< ID:11, Address:0, Data:227, Time:6279
< ID:10, Address:0, Data:2, Time:6280
< ID:8, Address:0, Data:2619, Time:6281
< ID:9, Address:0, Data:2640, Time:6282
< ID:11, Address:0, Data:3, Time:6283
< ID:10, Address:0, Data:2, Time:6284
< ID:11, Address:0, Data:10, Time:6285
< ID:10, Address:0, Data:1, Time:6286
< ID:11, Address:0, Data:11, Time:6287
< ID:10, Address:0, Data:2, Time:6288
< ID:11, Address:0, Data:29, Time:6289
< ID:10, Address:0, Data:1, Time:6290
< ID:11, Address:0, Data:45, Time:6291
< ID:10, Address:0, Data:2, Time:6292
< ID:11, Address:0, Data:56, Time:6293
< ID:10, Address:0, Data:1, Time:6294
< ID:11, Address:0, Data:64, Time:6295
< ID:10, Address:0, Data:2, Time:6296
< ID:11, Address:0, Data:66, Time:6297
< ID:10, Address:0, Data:1, Time:6298
< ID:11, Address:0, Data:75, Time:6299
< ID:10, Address:0, Data:2, Time:6300
< ID:11, Address:0, Data:101, Time:6301
< ID:10, Address:0, Data:1, Time:6302
< ID:11, Address:0, Data:105, Time:6303
< ID:10, Address:0, Data:2, Time:6304
< ID:11, Address:0, Data:118, Time:6305
< ID:10, Address:0, Data:2, Time:6306
< ID:11, Address:0, Data:145, Time:6307
< ID:10, Address:0, Data:1, Time:6308
< ID:11, Address:0, Data:162, Time:6309
< ID:10, Address:0, Data:1, Time:6310
< ID:11, Address:0, Data:170, Time:6311
< ID:10, Address:0, Data:2, Time:6312
< ID:11, Address:0, Data:174, Time:6313
< ID:10, Address:0, Data:1, Time:6314
< ID:11, Address:0, Data:178, Time:6315
< ID:10, Address:0, Data:2, Time:6316
< ID:11, Address:0, Data:198, Time:6317
< ID:10, Address:0, Data:1, Time:6318
< ID:11, Address:0, Data:199, Time:6319
< ID:10, Address:0, Data:2, Time:6320
< ID:11, Address:0, Data:214, Time:6321
< ID:10, Address:0, Data:2, Time:6322
< ID:11, Address:0, Data:221, Time:6323
< ID:10, Address:0, Data:1, Time:6324
< ID:8, Address:0, Data:2640, Time:6325
< ID:9, Address:0, Data:2645, Time:6326
< ID:11, Address:0, Data:10, Time:6327
< ID:10, Address:0, Data:1, Time:6328
< ID:11, Address:0, Data:45, Time:6329
< ID:10, Address:0, Data:2, Time:6330
< ID:11, Address:0, Data:87, Time:6331
< ID:10, Address:0, Data:1, Time:6332
< ID:11, Address:0, Data:101, Time:6333
< ID:10, Address:0, Data:1, Time:6334
< ID:11, Address:0, Data:145, Time:6335
< ID:10, Address:0, Data:1, Time:6336
< ID:8, Address:0, Data:2645, Time:6337
< ID:9, Address:0, Data:2652, Time:6338
< ID:11, Address:0, Data:7, Time:6339
< ID:10, Address:0, Data:3, Time:6340
< ID:11, Address:0, Data:29, Time:6341
< ID:10, Address:0, Data:1, Time:6342
< ID:11, Address:0, Data:66, Time:6343
< ID:10, Address:0, Data:1, Time:6344
< ID:11, Address:0, Data:82, Time:6345
< ID:10, Address:0, Data:2, Time:6346
< ID:11, Address:0, Data:101, Time:6347
< ID:10, Address:0, Data:1, Time:6348
< ID:11, Address:0, Data:126, Time:6349
< ID:10, Address:0, Data:2, Time:6350
< ID:11, Address:0, Data:145, Time:6351
< ID:10, Address:0, Data:1, Time:6352
< ID:8, Address:0, Data:2652, Time:6353
< ID:9, Address:0, Data:2658, Time:6354
< ID:11, Address:0, Data:9, Time:6355
< ID:10, Address:0, Data:1, Time:6356
< ID:11, Address:0, Data:19, Time:6357
< ID:10, Address:0, Data:2, Time:6358
< ID:11, Address:0, Data:66, Time:6359
< ID:10, Address:0, Data:1, Time:6360
< ID:11, Address:0, Data:75, Time:6361
< ID:10, Address:0, Data:2, Time:6362
< ID:11, Address:0, Data:145, Time:6363
< ID:10, Address:0, Data:1, Time:6364
< ID:11, Address:0, Data:189, Time:6365
< ID:10, Address:0, Data:2, Time:6366
< ID:8, Address:0, Data:2658, Time:6367
< ID:9, Address:0, Data:2667, Time:6368
< ID:11, Address:0, Data:10, Time:6369
< ID:10, Address:0, Data:1, Time:6370
< ID:11, Address:0, Data:29, Time:6371
< ID:10, Address:0, Data:1, Time:6372
< ID:11, Address:0, Data:45, Time:6373
< ID:10, Address:0, Data:2, Time:6374
< ID:11, Address:0, Data:96, Time:6375
< ID:10, Address:0, Data:2, Time:6376
< ID:11, Address:0, Data:101, Time:6377
< ID:10, Address:0, Data:1, Time:6378
< ID:11, Address:0, Data:105, Time:6379
< ID:10, Address:0, Data:2, Time:6380
< ID:11, Address:0, Data:162, Time:6381
< ID:10, Address:0, Data:1, Time:6382
< ID:11, Address:0, Data:231, Time:6383
< ID:10, Address:0, Data:2, Time:6384
< ID:11, Address:0, Data:254, Time:6385
< ID:10, Address:0, Data:2, Time:6386
< ID:8, Address:0, Data:2667, Time:6387
< ID:9, Address:0, Data:2717, Time:6388
< ID:11, Address:0, Data:5, Time:6389
< ID:10, Address:0, Data:2, Time:6390
< ID:11, Address:0, Data:9, Time:6391
< ID:10, Address:0, Data:1, Time:6392
< ID:11, Address:0, Data:10, Time:6393
< ID:10, Address:0, Data:1, Time:6394
< ID:11, Address:0, Data:12, Time:6395
< ID:10, Address:0, Data:2, Time:6396
< ID:11, Address:0, Data:19, Time:6397
< ID:10, Address:0, Data:2, Time:6398
< ID:11, Address:0, Data:21, Time:6399
< ID:10, Address:0, Data:2, Time:6400
< ID:11, Address:0, Data:29, Time:6401
< ID:10, Address:0, Data:1, Time:6402
< ID:11, Address:0, Data:31, Time:6403
< ID:10, Address:0, Data:1, Time:6404
< ID:11, Address:0, Data:34, Time:6405
< ID:10, Address:0, Data:2, Time:6406
< ID:11, Address:0, Data:39, Time:6407
< ID:10, Address:0, Data:2, Time:6408
< ID:11, Address:0, Data:41, Time:6409
< ID:10, Address:0, Data:2, Time:6410
< ID:11, Address:0, Data:45, Time:6411
< ID:10, Address:0, Data:2, Time:6412
< ID:11, Address:0, Data:57, Time:6413
< ID:10, Address:0, Data:3, Time:6414
< ID:11, Address:0, Data:63, Time:6415
< ID:10, Address:0, Data:2, Time:6416
< ID:11, Address:0, Data:66, Time:6417
< ID:10, Address:0, Data:1, Time:6418
< ID:11, Address:0, Data:67, Time:6419
< ID:10, Address:0, Data:2, Time:6420
< ID:11, Address:0, Data:74, Time:6421
< ID:10, Address:0, Data:2, Time:6422
< ID:11, Address:0, Data:81, Time:6423
< ID:10, Address:0, Data:2, Time:6424
< ID:11, Address:0, Data:82, Time:6425
< ID:10, Address:0, Data:2, Time:6426
< ID:11, Address:0, Data:87, Time:6427
< ID:10, Address:0, Data:1, Time:6428
< ID:11, Address:0, Data:95, Time:6429
< ID:10, Address:0, Data:2, Time:6430
< ID:11, Address:0, Data:96, Time:6431
< ID:10, Address:0, Data:2, Time:6432
< ID:11, Address:0, Data:98, Time:6433
< ID:10, Address:0, Data:2, Time:6434
< ID:11, Address:0, Data:101, Time:6435
< ID:10, Address:0, Data:1, Time:6436
< ID:11, Address:0, Data:105, Time:6437
< ID:10, Address:0, Data:2, Time:6438
< ID:11, Address:0, Data:114, Time:6439
< ID:10, Address:0, Data:2, Time:6440
< ID:11, Address:0, Data:116, Time:6441
< ID:10, Address:0, Data:2, Time:6442
< ID:11, Address:0, Data:130, Time:6443
< ID:10, Address:0, Data:2, Time:6444
< ID:11, Address:0, Data:135, Time:6445
< ID:10, Address:0, Data:2, Time:6446
< ID:11, Address:0, Data:141, Time:6447
< ID:10, Address:0, Data:1, Time:6448
< ID:11, Address:0, Data:142, Time:6449
< ID:10, Address:0, Data:1, Time:6450
< ID:11, Address:0, Data:145, Time:6451
< ID:10, Address:0, Data:1, Time:6452
< ID:11, Address:0, Data:158, Time:6453
< ID:10, Address:0, Data:2, Time:6454
< ID:11, Address:0, Data:159, Time:6455
< ID:10, Address:0, Data:2, Time:6456
< ID:11, Address:0, Data:162, Time:6457
< ID:10, Address:0, Data:1, Time:6458
< ID:11, Address:0, Data:171, Time:6459
< ID:10, Address:0, Data:2, Time:6460
< ID:11, Address:0, Data:178, Time:6461
< ID:10, Address:0, Data:2, Time:6462
< ID:11, Address:0, Data:181, Time:6463
< ID:10, Address:0, Data:2, Time:6464
< ID:11, Address:0, Data:183, Time:6465
< ID:10, Address:0, Data:2, Time:6466
< ID:11, Address:0, Data:203, Time:6467
< ID:10, Address:0, Data:2, Time:6468
< ID:11, Address:0, Data:207, Time:6469
< ID:10, Address:0, Data:2, Time:6470
< ID:11, Address:0, Data:214, Time:6471
< ID:10, Address:0, Data:2, Time:6472
< ID:11, Address:0, Data:216, Time:6473
< ID:10, Address:0, Data:2, Time:6474
< ID:11, Address:0, Data:220, Time:6475
< ID:10, Address:0, Data:1, Time:6476
< ID:11, Address:0, Data:231, Time:6477
< ID:10, Address:0, Data:2, Time:6478
< ID:11, Address:0, Data:240, Time:6479
< ID:10, Address:0, Data:1, Time:6480
< ID:11, Address:0, Data:245, Time:6481
< ID:10, Address:0, Data:1, Time:6482
< ID:11, Address:0, Data:247, Time:6483
< ID:10, Address:0, Data:2, Time:6484
< ID:11, Address:0, Data:250, Time:6485
< ID:10, Address:0, Data:1, Time:6486
< ID:11, Address:0, Data:254, Time:6487
< ID:10, Address:0, Data:2, Time:6488
< ID:8, Address:0, Data:2717, Time:6489
< ID:9, Address:0, Data:2722, Time:6490
< ID:11, Address:0, Data:29, Time:6491
< ID:10, Address:0, Data:1, Time:6492
< ID:11, Address:0, Data:39, Time:6493
< ID:10, Address:0, Data:2, Time:6494
< ID:11, Address:0, Data:67, Time:6495
< ID:10, Address:0, Data:2, Time:6496
< ID:11, Address:0, Data:96, Time:6497
< ID:10, Address:0, Data:2, Time:6498
< ID:11, Address:0, Data:214, Time:6499
< ID:10, Address:0, Data:2, Time:6500
< ID:8, Address:0, Data:2722, Time:6501
< ID:9, Address:0, Data:2726, Time:6502
< ID:11, Address:0, Data:19, Time:6503
< ID:10, Address:0, Data:2, Time:6504
< ID:11, Address:0, Data:29, Time:6505
< ID:10, Address:0, Data:1, Time:6506
< ID:11, Address:0, Data:34, Time:6507
< ID:10, Address:0, Data:2, Time:6508
< ID:11, Address:0, Data:240, Time:6509
< ID:10, Address:0, Data:1, Time:6510
< ID:8, Address:0, Data:2726, Time:6511
< ID:9, Address:0, Data:2750, Time:6512
< ID:11, Address:0, Data:1, Time:6513
< ID:10, Address:0, Data:2, Time:6514
< ID:11, Address:0, Data:8, Time:6515
< ID:10, Address:0, Data:1, Time:6516
< ID:11, Address:0, Data:9, Time:6517
< ID:10, Address:0, Data:1, Time:6518
< ID:11, Address:0, Data:19, Time:6519
< ID:10, Address:0, Data:2, Time:6520
< ID:11, Address:0, Data:29, Time:6521
< ID:10, Address:0, Data:1, Time:6522
< ID:11, Address:0, Data:31, Time:6523
< ID:10, Address:0, Data:1, Time:6524
< ID:11, Address:0, Data:45, Time:6525
< ID:10, Address:0, Data:2, Time:6526
< ID:11, Address:0, Data:59, Time:6527
< ID:10, Address:0, Data:2, Time:6528
< ID:11, Address:0, Data:63, Time:6529
< ID:10, Address:0, Data:2, Time:6530
< ID:11, Address:0, Data:67, Time:6531
< ID:10, Address:0, Data:2, Time:6532
< ID:11, Address:0, Data:79, Time:6533
< ID:10, Address:0, Data:2, Time:6534
< ID:11, Address:0, Data:82, Time:6535
< ID:10, Address:0, Data:2, Time:6536
< ID:11, Address:0, Data:87, Time:6537
< ID:10, Address:0, Data:1, Time:6538
< ID:11, Address:0, Data:96, Time:6539
< ID:10, Address:0, Data:2, Time:6540
< ID:11, Address:0, Data:98, Time:6541
< ID:10, Address:0, Data:2, Time:6542
< ID:11, Address:0, Data:105, Time:6543
< ID:10, Address:0, Data:2, Time:6544
< ID:11, Address:0, Data:142, Time:6545
< ID:10, Address:0, Data:1, Time:6546
< ID:11, Address:0, Data:155, Time:6547
< ID:10, Address:0, Data:2, Time:6548
< ID:11, Address:0, Data:183, Time:6549
< ID:10, Address:0, Data:2, Time:6550
< ID:11, Address:0, Data:214, Time:6551
< ID:10, Address:0, Data:2, Time:6552
< ID:11, Address:0, Data:221, Time:6553
< ID:10, Address:0, Data:1, Time:6554
< ID:11, Address:0, Data:231, Time:6555
< ID:10, Address:0, Data:2, Time:6556
< ID:11, Address:0, Data:250, Time:6557
< ID:10, Address:0, Data:1, Time:6558
< ID:11, Address:0, Data:251, Time:6559
< ID:10, Address:0, Data:2, Time:6560
< ID:8, Address:0, Data:2750, Time:6561
< ID:9, Address:0, Data:2790, Time:6562
< ID:11, Address:0, Data:5, Time:6563
< ID:10, Address:0, Data:2, Time:6564
< ID:11, Address:0, Data:6, Time:6565
< ID:10, Address:0, Data:1, Time:6566
< ID:11, Address:0, Data:8, Time:6567
< ID:10, Address:0, Data:1, Time:6568
< ID:11, Address:0, Data:10, Time:6569
< ID:10, Address:0, Data:1, Time:6570
< ID:11, Address:0, Data:19, Time:6571
< ID:10, Address:0, Data:2, Time:6572
< ID:11, Address:0, Data:21, Time:6573
< ID:10, Address:0, Data:2, Time:6574
< ID:11, Address:0, Data:29, Time:6575
< ID:10, Address:0, Data:1, Time:6576
< ID:11, Address:0, Data:39, Time:6577
< ID:10, Address:0, Data:2, Time:6578
< ID:11, Address:0, Data:45, Time:6579
< ID:10, Address:0, Data:2, Time:6580
< ID:11, Address:0, Data:51, Time:6581
< ID:10, Address:0, Data:2, Time:6582
< ID:11, Address:0, Data:63, Time:6583
< ID:10, Address:0, Data:2, Time:6584
< ID:11, Address:0, Data:66, Time:6585
< ID:10, Address:0, Data:1, Time:6586
< ID:11, Address:0, Data:70, Time:6587
< ID:10, Address:0, Data:2, Time:6588
< ID:11, Address:0, Data:72, Time:6589
< ID:10, Address:0, Data:2, Time:6590
< ID:11, Address:0, Data:82, Time:6591
< ID:10, Address:0, Data:2, Time:6592
< ID:11, Address:0, Data:87, Time:6593
< ID:10, Address:0, Data:1, Time:6594
< ID:11, Address:0, Data:89, Time:6595
